Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia,Malignant neoplasms,Diabetes mellitus,Alzheimer disease,Influenza and pneumonia,Chronic lower respiratory diseases,Other diseases of respiratory system,"Nephritis, nephrotic syndrome and nephrosis","Symptoms, signs and abnormal clinical and laboratory findings",Diseases of heart,Cerebrovascular diseases,COVID-19 (Multiple Cause of Death),COVID-19 (Underlying Cause of Death)
Rhode Island,2021,46,11/20/2021,247,223,,47,,,,14,,,,42,10,20,15
Rhode Island,2021,47,11/27/2021,248,225,0,42,10,16,,,,,,51,,19,17
Rhode Island,2021,48,12/4/2021,277,245,,41,,16,,,,,,68,,25,21
Rhode Island,2021,49,12/11/2021,265,245,,51,,14,,12,,,0,47,11,41,33
Rhode Island,2021,50,12/18/2021,247,229,,54,,,,12,,,,50,,33,28
Rhode Island,2021,51,12/25/2021,290,271,,42,10,12,,,,,0,62,11,50,44
Rhode Island,2021,52,1/1/2022,275,261,,41,,12,,,0,,,58,14,47,45
Rhode Island,2022,1,1/8/2022,258,239,,34,,10,,13,,,,58,,53,46
Rhode Island,2022,2,1/15/2022,283,267,,40,,,,11,,,,56,13,69,60
Rhode Island,2022,3,1/22/2022,299,277,,40,11,10,,10,,,,55,11,83,68
Rhode Island,2022,4,1/29/2022,279,260,0,39,,,,,,,0,51,,79,70
Rhode Island,2022,5,2/5/2022,261,233,,48,,11,,10,,,,56,,49,36
Rhode Island,2022,6,2/12/2022,253,238,,47,,,,12,,,,53,13,36,29
Rhode Island,2022,7,2/19/2022,214,193,,34,,11,0,10,0,,,47,14,25,18
Rhode Island,2022,8,2/26/2022,235,209,,40,,,0,,,,,54,11,18,14
Rhode Island,2022,9,3/5/2022,225,201,,44,,,,,,,,46,21,14,
Rhode Island,2022,10,3/12/2022,209,189,,44,,,,,,,,38,16,,
Rhode Island,2022,11,3/19/2022,194,178,,48,,10,,15,,,0,37,,,
Rhode Island,2022,12,3/26/2022,190,167,,36,0,,,,,,0,45,,,
Rhode Island,2022,13,4/2/2022,176,155,,38,,,0,,,,0,42,,,
Rhode Island,2022,14,4/9/2022,217,190,,43,,,,,,,,55,,,
Rhode Island,2022,15,4/16/2022,175,161,,38,,,0,,,,,47,,,
Rhode Island,2022,16,4/23/2022,178,155,0,40,,,,,,,,33,,,
Rhode Island,2022,17,4/30/2022,209,193,,41,,16,,,,,,43,11,,
Rhode Island,2022,18,5/7/2022,209,185,0,53,,,,10,,,,50,,10,
Rhode Island,2022,19,5/14/2022,218,195,0,39,,,,12,,,0,52,12,14,
Rhode Island,2022,20,5/21/2022,185,167,0,42,,13,,,,,,44,,,
Rhode Island,2022,21,5/28/2022,187,171,0,44,,10,,,,,,33,10,10,
Rhode Island,2022,22,6/4/2022,197,181,,46,,,,,,,,49,,,
Rhode Island,2022,23,6/11/2022,194,170,,43,,,,,0,,,36,,12,
Rhode Island,2022,24,6/18/2022,193,171,0,30,,12,,,,,,48,,,
Rhode Island,2022,25,6/25/2022,182,178,,31,,,,,,,12,39,12,,
Rhode Island,2022,26,7/2/2022,204,189,,42,,,,10,,,11,41,13,,
Rhode Island,2022,27,7/9/2022,208,200,,48,,11,,,,,17,35,,,
Rhode Island,2022,28,7/16/2022,209,195,0,55,,,,10,,,,46,,,
Rhode Island,2022,29,7/23/2022,210,190,,52,,,,,,,14,40,11,,
Rhode Island,2022,30,7/30/2022,196,181,,24,,,,13,,,15,37,,,
Rhode Island,2022,31,8/6/2022,197,180,,42,0,,0,,,,,47,,,
Rhode Island,2022,32,8/13/2022,204,192,,45,,11,,,,,16,30,,,
Rhode Island,2022,33,8/20/2022,175,167,,46,,,,,,,,38,,,
Rhode Island,2022,34,8/27/2022,205,195,,35,,,,11,,,13,47,,10,
Rhode Island,2022,35,9/3/2022,151,146,,34,,,0,,,,,30,,,
Rhode Island,2022,36,9/10/2022,179,173,0,44,,,,,,,17,39,10,11,
Rhode Island,2022,37,9/17/2022,186,179,,38,,,,,,,14,45,,,
Rhode Island,2022,38,9/24/2022,146,146,,42,,,,,0,,10,26,10,,
South Carolina,2020,1,1/4/2020,1085,994,14,192,36,53,30,85,19,29,,222,51,0,0
South Carolina,2020,2,1/11/2020,1081,987,24,210,41,55,21,70,33,27,10,212,47,0,0
South Carolina,2020,3,1/18/2020,1048,951,14,220,40,39,19,71,18,27,,205,49,0,0
South Carolina,2020,4,1/25/2020,1033,931,18,193,38,51,19,66,25,23,,213,59,0,0
South Carolina,2020,5,2/1/2020,1032,944,20,206,40,40,23,61,14,11,,237,47,0,0
South Carolina,2020,6,2/8/2020,1096,995,20,199,42,45,29,69,25,17,,243,44,0,0
South Carolina,2020,7,2/15/2020,1003,906,23,196,27,50,27,58,17,15,17,208,40,0,0
South Carolina,2020,8,2/22/2020,1035,946,17,199,32,57,13,74,20,20,11,219,52,0,0
South Carolina,2020,9,2/29/2020,1044,953,22,198,38,44,20,76,15,22,,222,43,0,0
South Carolina,2020,10,3/7/2020,1133,1017,11,217,37,61,25,62,27,19,13,240,68,0,0
South Carolina,2020,11,3/14/2020,1103,1013,15,214,35,60,16,59,26,23,,223,62,0,0
South Carolina,2020,12,3/21/2020,1067,967,15,212,31,60,18,56,16,13,,235,58,,
South Carolina,2020,13,3/28/2020,1039,946,13,215,31,47,21,59,27,30,10,205,50,19,17
South Carolina,2020,14,4/4/2020,1048,951,14,187,44,56,15,60,20,18,12,213,38,36,35
South Carolina,2020,15,4/11/2020,1138,1029,12,200,45,53,14,52,20,17,11,228,57,57,51
South Carolina,2020,16,4/18/2020,1049,938,15,175,36,57,15,59,22,17,13,214,56,47,43
South Carolina,2020,17,4/25/2020,1023,924,14,195,23,45,11,61,10,15,12,205,54,62,62
South Carolina,2020,18,5/2/2020,1033,925,17,196,33,49,16,53,17,17,15,189,59,63,61
South Carolina,2020,19,5/9/2020,1060,954,23,206,42,33,15,46,21,20,,208,48,72,69
South Carolina,2020,20,5/16/2020,1110,994,15,196,35,46,10,69,12,12,11,203,58,68,66
South Carolina,2020,21,5/23/2020,1046,918,17,210,43,35,,53,14,14,,200,61,59,56
South Carolina,2020,22,5/30/2020,1048,927,17,181,35,34,,55,15,13,12,188,50,65,60
South Carolina,2020,23,6/6/2020,1037,925,16,196,23,50,14,59,14,19,,207,47,64,58
South Carolina,2020,24,6/13/2020,1079,947,14,209,33,50,12,55,20,19,,187,43,50,43
South Carolina,2020,25,6/20/2020,1052,927,,185,49,47,,56,13,18,,189,63,57,52
South Carolina,2020,26,6/27/2020,1099,984,11,187,38,41,11,49,21,20,,219,66,85,77
South Carolina,2020,27,7/4/2020,1197,1066,13,203,27,60,,63,11,18,,258,53,129,114
South Carolina,2020,28,7/11/2020,1218,1095,23,212,29,61,11,44,15,17,,212,60,146,135
South Carolina,2020,29,7/18/2020,1335,1210,21,199,49,57,14,57,16,21,12,221,61,230,205
South Carolina,2020,30,7/25/2020,1352,1257,13,213,38,59,15,48,12,17,,227,44,321,303
South Carolina,2020,31,8/1/2020,1329,1206,22,177,38,58,,60,23,22,,213,57,288,271
South Carolina,2020,32,8/8/2020,1368,1254,20,212,41,54,12,66,12,17,13,224,56,269,246
South Carolina,2020,33,8/15/2020,1319,1217,22,222,37,64,15,52,12,15,,232,59,241,212
South Carolina,2020,34,8/22/2020,1181,1073,16,200,27,52,,54,16,23,,192,51,207,186
South Carolina,2020,35,8/29/2020,1240,1127,17,215,31,51,,41,14,26,,210,56,201,180
South Carolina,2020,36,9/5/2020,1243,1113,16,215,44,50,10,52,18,19,,218,54,183,154
South Carolina,2020,37,9/12/2020,1186,1048,13,215,31,57,,53,14,12,,215,61,143,123
South Carolina,2020,38,9/19/2020,1142,1032,15,215,36,34,17,62,18,18,,193,41,137,123
South Carolina,2020,39,9/26/2020,1152,1038,20,202,35,40,16,59,19,18,10,197,51,123,109
South Carolina,2020,40,10/3/2020,1142,1031,24,204,30,46,11,53,20,21,,215,45,104,97
South Carolina,2020,41,10/10/2020,1133,1034,15,210,38,38,,59,12,16,,241,53,91,82
South Carolina,2020,42,10/17/2020,1062,958,14,179,34,45,,51,17,17,,195,41,118,109
South Carolina,2020,43,10/24/2020,1147,1042,14,207,23,43,,57,16,20,,223,58,127,118
South Carolina,2020,44,10/31/2020,1225,1110,17,205,42,49,14,62,12,19,,227,63,124,112
South Carolina,2020,45,11/7/2020,1185,1056,26,202,41,46,,49,20,19,,225,38,116,105
South Carolina,2020,46,11/14/2020,1138,1031,19,216,46,40,11,51,16,13,,192,56,119,104
South Carolina,2020,47,11/21/2020,1192,1059,19,184,34,43,12,50,19,18,14,214,70,129,110
South Carolina,2020,48,11/28/2020,1214,1102,14,199,38,58,14,56,20,18,,225,56,136,127
South Carolina,2020,49,12/5/2020,1287,1173,24,195,42,50,14,46,24,20,,226,66,189,178
South Carolina,2020,50,12/12/2020,1281,1178,20,224,44,51,12,51,19,17,10,237,55,192,168
South Carolina,2020,51,12/19/2020,1367,1252,18,199,50,42,12,57,23,25,13,239,48,262,230
South Carolina,2020,52,12/26/2020,1420,1311,20,208,40,41,11,61,17,21,,243,57,312,290
South Carolina,2020,53,1/2/2021,1511,1405,20,184,61,60,,67,21,22,,245,72,369,342
South Carolina,2021,1,1/9/2021,1590,1448,15,207,39,45,16,55,18,20,12,276,64,434,414
South Carolina,2021,2,1/16/2021,1640,1520,19,187,57,57,17,75,27,14,,250,57,507,475
South Carolina,2021,3,1/23/2021,1700,1603,16,221,47,68,13,66,19,18,,259,62,519,495
South Carolina,2021,4,1/30/2021,1582,1471,16,206,42,51,13,67,25,19,,267,78,467,428
South Carolina,2021,5,2/6/2021,1501,1381,17,204,35,63,12,59,18,30,,237,58,398,363
South Carolina,2021,6,2/13/2021,1368,1276,18,179,32,46,,61,16,18,10,247,81,309,288
South Carolina,2021,7,2/20/2021,1253,1140,11,200,34,56,,55,24,11,,241,61,225,205
South Carolina,2021,8,2/27/2021,1239,1137,12,211,40,57,11,51,14,17,,240,51,188,178
South Carolina,2021,9,3/6/2021,1196,1098,15,205,44,53,18,50,16,19,,226,57,156,133
South Carolina,2021,10,3/13/2021,1169,1049,18,196,25,54,,61,16,17,,214,63,123,110
South Carolina,2021,11,3/20/2021,1053,942,20,184,24,39,,48,11,19,,213,59,94,80
South Carolina,2021,12,3/27/2021,1102,996,11,200,36,55,10,50,17,12,,223,56,86,79
South Carolina,2021,13,4/3/2021,999,886,11,157,24,40,10,59,17,13,14,205,47,70,68
South Carolina,2021,14,4/10/2021,1131,997,10,222,29,54,,47,12,18,,205,52,78,73
South Carolina,2021,15,4/17/2021,1100,983,19,201,36,44,,34,20,17,,231,56,78,68
South Carolina,2021,16,4/24/2021,1067,930,12,182,34,41,,53,11,13,,217,56,89,74
South Carolina,2021,17,5/1/2021,1152,1011,13,233,28,35,14,59,15,20,,218,48,74,66
South Carolina,2021,18,5/8/2021,1072,943,17,184,34,39,11,67,20,16,,222,53,61,55
South Carolina,2021,19,5/15/2021,1086,962,11,192,37,51,,60,16,17,,212,60,63,55
South Carolina,2021,20,5/22/2021,1027,892,14,204,16,37,10,51,17,12,,195,53,34,29
South Carolina,2021,21,5/29/2021,1024,904,14,196,27,38,12,53,24,10,13,208,48,32,27
South Carolina,2021,22,6/5/2021,1034,909,13,198,28,45,,51,15,14,,194,54,31,24
South Carolina,2021,23,6/12/2021,1033,904,12,188,27,46,10,49,20,18,,211,57,28,26
South Carolina,2021,24,6/19/2021,1079,954,,206,29,44,14,55,19,11,,237,51,23,16
South Carolina,2021,25,6/26/2021,1034,904,15,195,28,52,12,45,11,16,10,194,56,17,15
South Carolina,2021,26,7/3/2021,1029,891,17,196,27,28,,62,11,21,,215,61,20,15
South Carolina,2021,27,7/10/2021,1044,920,12,216,32,43,15,46,15,15,,208,69,24,18
South Carolina,2021,28,7/17/2021,1026,912,17,215,29,32,11,59,17,19,,216,60,21,18
South Carolina,2021,29,7/24/2021,1080,956,16,202,22,44,11,54,14,15,,221,54,35,33
South Carolina,2021,30,7/31/2021,1110,992,14,215,24,43,11,48,19,22,,241,50,55,54
South Carolina,2021,31,8/7/2021,1140,1015,16,204,35,46,11,48,16,11,,209,39,113,108
South Carolina,2021,32,8/14/2021,1274,1133,26,195,35,50,,34,16,13,11,252,68,195,186
South Carolina,2021,33,8/21/2021,1359,1214,13,198,32,47,,59,20,14,14,239,60,277,263
South Carolina,2021,34,8/28/2021,1415,1305,10,219,33,37,13,59,20,19,,202,54,369,349
South Carolina,2021,35,9/4/2021,1483,1362,10,195,39,46,,56,12,,12,241,72,409,390
South Carolina,2021,36,9/11/2021,1514,1389,11,199,41,48,11,51,22,27,,214,50,471,453
South Carolina,2021,37,9/18/2021,1563,1442,11,199,44,50,13,48,16,15,,249,45,533,508
South Carolina,2021,38,9/25/2021,1480,1354,11,212,26,47,16,52,17,23,,214,58,467,448
South Carolina,2021,39,10/2/2021,1399,1274,,184,35,61,,55,17,12,15,235,46,386,363
South Carolina,2021,40,10/9/2021,1379,1272,17,216,36,44,10,57,17,20,,209,58,338,316
South Carolina,2021,41,10/16/2021,1320,1173,12,197,23,49,,62,19,14,,241,64,251,232
South Carolina,2021,42,10/23/2021,1226,1112,21,190,30,43,12,61,14,19,11,238,56,206,186
South Carolina,2021,43,10/30/2021,1140,1026,15,190,32,35,22,44,10,16,,213,53,131,123
South Carolina,2021,44,11/6/2021,1189,1069,20,204,45,36,10,58,17,25,,225,68,116,98
South Carolina,2021,45,11/13/2021,1226,1089,12,210,33,48,,49,13,24,,260,64,100,89
South Carolina,2021,46,11/20/2021,1152,1033,14,189,33,37,12,58,17,18,,244,59,99,90
South Carolina,2021,47,11/27/2021,1191,1067,24,181,49,47,,53,12,14,,218,64,97,84
South Carolina,2021,48,12/4/2021,1168,1063,14,197,22,43,18,55,17,17,,275,55,71,61
South Carolina,2021,49,12/11/2021,1213,1083,23,201,43,38,15,53,15,16,10,246,67,86,78
South Carolina,2021,50,12/18/2021,1166,1051,15,188,25,53,,50,15,19,,236,68,94,87
South Carolina,2021,51,12/25/2021,1258,1141,14,209,41,52,20,60,,16,12,258,59,125,107
South Carolina,2021,52,1/1/2022,1258,1135,13,197,41,47,,58,15,19,12,264,50,129,115
South Carolina,2022,1,1/8/2022,1340,1223,20,209,48,42,20,56,27,15,12,257,52,204,177
South Carolina,2022,2,1/15/2022,1507,1384,14,216,40,58,24,73,22,15,11,286,78,269,230
South Carolina,2022,3,1/22/2022,1534,1430,21,211,48,57,19,66,17,28,,276,88,362,304
South Carolina,2022,4,1/29/2022,1671,1566,17,232,41,55,13,69,28,23,11,267,76,487,412
South Carolina,2022,5,2/5/2022,1633,1489,20,221,38,53,14,66,22,21,11,285,65,455,369
South Carolina,2022,6,2/12/2022,1460,1337,19,203,52,50,,60,22,13,,226,65,382,311
South Carolina,2022,7,2/19/2022,1321,1198,21,173,30,66,14,47,25,24,,233,67,260,206
South Carolina,2022,8,2/26/2022,1223,1104,11,201,33,61,18,54,15,21,,239,57,188,141
South Carolina,2022,9,3/5/2022,1109,999,14,207,33,41,11,58,23,14,,204,46,110,85
South Carolina,2022,10,3/12/2022,1144,1026,10,213,32,48,13,58,15,19,,236,41,105,74
South Carolina,2022,11,3/19/2022,1060,946,16,184,40,44,13,43,19,25,,223,54,53,30
South Carolina,2022,12,3/26/2022,1092,977,18,213,40,45,10,41,15,15,,216,68,47,31
South Carolina,2022,13,4/2/2022,992,884,21,176,21,47,,39,15,17,10,240,61,23,10
South Carolina,2022,14,4/9/2022,1060,955,12,209,36,46,,48,18,20,,248,53,27,11
South Carolina,2022,15,4/16/2022,976,869,15,165,38,37,16,47,14,,15,230,46,20,10
South Carolina,2022,16,4/23/2022,1015,908,13,173,29,45,16,53,16,17,,210,59,24,12
South Carolina,2022,17,4/30/2022,1013,879,17,202,24,48,,55,19,13,10,189,57,16,
South Carolina,2022,18,5/7/2022,975,876,15,192,17,30,12,45,20,11,19,186,46,14,
South Carolina,2022,19,5/14/2022,1061,942,28,208,33,36,12,44,21,16,13,214,62,36,16
South Carolina,2022,20,5/21/2022,1013,910,14,235,35,44,10,43,14,11,15,197,40,28,16
South Carolina,2022,21,5/28/2022,1078,959,11,192,33,51,11,61,14,15,19,222,44,32,23
South Carolina,2022,22,6/4/2022,1033,905,12,198,29,35,,65,19,13,16,218,50,22,13
South Carolina,2022,23,6/11/2022,1095,975,11,198,43,39,,54,20,17,18,221,59,27,17
South Carolina,2022,24,6/18/2022,1018,898,12,212,34,33,12,52,14,17,22,205,53,39,16
South Carolina,2022,25,6/25/2022,1019,896,20,185,28,49,,47,11,17,18,193,52,42,24
South Carolina,2022,26,7/2/2022,1105,980,23,197,26,56,,48,17,23,31,220,74,47,25
South Carolina,2022,27,7/9/2022,1064,952,11,200,32,42,,52,17,13,42,201,55,40,29
South Carolina,2022,28,7/16/2022,1043,953,14,220,28,40,11,48,15,11,37,210,44,49,33
South Carolina,2022,29,7/23/2022,1069,964,18,193,24,46,10,44,15,16,50,204,56,58,40
South Carolina,2022,30,7/30/2022,1088,979,16,203,33,41,,39,18,22,48,219,48,64,45
South Carolina,2022,31,8/6/2022,1126,1048,23,200,30,52,,66,12,21,66,207,68,49,36
South Carolina,2022,32,8/13/2022,1014,935,10,202,29,44,,45,17,18,64,187,39,62,37
South Carolina,2022,33,8/20/2022,1072,998,21,171,28,34,12,46,15,23,66,212,64,73,51
South Carolina,2022,34,8/27/2022,1104,1037,27,188,21,50,,50,22,15,79,208,62,71,54
South Carolina,2022,35,9/3/2022,1018,966,12,187,31,52,12,49,14,19,91,180,53,49,33
South Carolina,2022,36,9/10/2022,1088,1032,19,211,29,36,,56,23,17,92,195,60,53,34
South Carolina,2022,37,9/17/2022,967,937,18,234,14,41,15,42,15,15,92,147,50,31,22
South Carolina,2022,38,9/24/2022,835,835,,170,23,41,10,51,,19,96,176,46,31,15
South Dakota,2020,1,1/4/2020,170,145,,38,,,,,,,0,39,10,0,0
South Dakota,2020,2,1/11/2020,170,157,0,38,,,,13,,,0,33,11,0,0
South Dakota,2020,3,1/18/2020,168,155,0,30,,12,,,0,0,0,44,,0,0
South Dakota,2020,4,1/25/2020,151,142,,32,,15,,,,,0,29,11,0,0
South Dakota,2020,5,2/1/2020,162,152,,39,,11,,,,,,41,,0,0
South Dakota,2020,6,2/8/2020,150,143,,41,,,,10,,,0,25,19,0,0
South Dakota,2020,7,2/15/2020,178,165,,38,,12,,13,,,0,36,,0,0
South Dakota,2020,8,2/22/2020,177,158,,35,12,15,,12,,,,36,13,0,0
South Dakota,2020,9,2/29/2020,163,149,,32,,,,12,,,,33,12,0,0
South Dakota,2020,10,3/7/2020,194,182,,50,,13,,17,,0,0,41,,0,0
South Dakota,2020,11,3/14/2020,166,155,,35,10,11,,10,,,0,42,,,
South Dakota,2020,12,3/21/2020,162,152,,28,,,,14,,,0,26,12,0,0
South Dakota,2020,13,3/28/2020,149,140,,36,,,,10,,0,,27,,,
South Dakota,2020,14,4/4/2020,170,154,,39,,,0,10,0,0,,35,11,,
South Dakota,2020,15,4/11/2020,150,138,,26,,11,,,,,0,42,,,
South Dakota,2020,16,4/18/2020,154,142,,31,,,,,,,,26,,,
South Dakota,2020,17,4/25/2020,176,160,,36,,14,,,,0,0,36,10,,
South Dakota,2020,18,5/2/2020,159,143,,32,,,,,,0,0,26,,16,16
South Dakota,2020,19,5/9/2020,181,159,,33,,,,18,,0,0,33,11,15,15
South Dakota,2020,20,5/16/2020,147,133,,26,,,,,0,,0,39,,,
South Dakota,2020,21,5/23/2020,162,150,,28,,10,,,,,0,39,,,
South Dakota,2020,22,5/30/2020,157,147,,39,,,0,10,,,0,30,,10,10
South Dakota,2020,23,6/6/2020,147,127,0,27,,,,,0,0,,28,,,
South Dakota,2020,24,6/13/2020,159,142,,23,,,,,,,,35,,11,11
South Dakota,2020,25,6/20/2020,176,155,,39,,,,10,,,,32,,12,12
South Dakota,2020,26,6/27/2020,163,138,,39,,15,0,,,,0,28,,10,10
South Dakota,2020,27,7/4/2020,160,139,,28,,,,,,,,38,,,
South Dakota,2020,28,7/11/2020,172,158,0,39,,11,,10,0,0,,23,,14,14
South Dakota,2020,29,7/18/2020,158,149,,38,,10,,,0,0,,30,,,
South Dakota,2020,30,7/25/2020,173,155,,31,10,10,,,,,,30,,15,13
South Dakota,2020,31,8/1/2020,151,135,0,42,,,,,,,0,34,,,
South Dakota,2020,32,8/8/2020,187,165,,47,10,11,0,,,,,27,,,
South Dakota,2020,33,8/15/2020,162,133,,29,,,,,,0,,37,,11,10
South Dakota,2020,34,8/22/2020,169,148,,30,,13,,,0,,,33,10,10,10
South Dakota,2020,35,8/29/2020,189,165,,36,,,,,,,,40,,13,12
South Dakota,2020,36,9/5/2020,209,183,,48,10,,,11,0,0,0,39,,18,18
South Dakota,2020,37,9/12/2020,182,166,,30,,11,0,,,,0,41,,20,16
South Dakota,2020,38,9/19/2020,181,162,,33,,11,,,,,,39,,26,21
South Dakota,2020,39,9/26/2020,191,177,,32,,,,,,0,0,44,,35,31
South Dakota,2020,40,10/3/2020,206,193,,33,,,0,,,,,40,11,41,37
South Dakota,2020,41,10/10/2020,215,198,,30,12,12,,,,,0,44,,44,37
South Dakota,2020,42,10/17/2020,201,185,0,30,,10,,,,,,37,,54,51
South Dakota,2020,43,10/24/2020,243,221,,41,,13,,,,,0,38,,60,57
South Dakota,2020,44,10/31/2020,243,232,,31,,,,,,0,,41,13,87,79
South Dakota,2020,45,11/7/2020,356,325,,32,,12,,,,,,48,16,149,142
South Dakota,2020,46,11/14/2020,343,327,,37,,,,,,,0,38,12,168,156
South Dakota,2020,47,11/21/2020,335,318,,37,,15,,,,0,0,30,,174,166
South Dakota,2020,48,11/28/2020,335,320,,33,10,14,,,,,,34,10,163,155
South Dakota,2020,49,12/5/2020,305,286,,29,,16,,12,,,0,31,,147,135
South Dakota,2020,50,12/12/2020,283,266,,24,,10,,10,,0,0,36,,137,126
South Dakota,2020,51,12/19/2020,236,223,,28,,,,,,,0,29,,95,89
South Dakota,2020,52,12/26/2020,206,192,,33,10,,,12,,0,,25,,58,50
South Dakota,2020,53,1/2/2021,211,196,,33,,11,,,,,,40,,55,44
South Dakota,2021,1,1/9/2021,220,201,0,33,,,,,,,0,36,,65,56
South Dakota,2021,2,1/16/2021,188,174,,36,10,,,10,,,0,30,,36,31
South Dakota,2021,3,1/23/2021,191,179,,34,,,,,,,0,36,,34,31
South Dakota,2021,4,1/30/2021,204,186,,43,,,0,,,,,36,,29,23
South Dakota,2021,5,2/6/2021,189,166,,27,,13,,,,,,36,,30,25
South Dakota,2021,6,2/13/2021,181,162,,30,,,,10,,0,,40,,20,14
South Dakota,2021,7,2/20/2021,166,146,0,30,,,0,,,0,0,40,12,12,
South Dakota,2021,8,2/27/2021,180,164,,28,10,14,,10,,,0,43,,13,10
South Dakota,2021,9,3/6/2021,168,158,,46,,,,,,,0,30,,,
South Dakota,2021,10,3/13/2021,185,168,,49,,,,11,,0,0,39,,,
South Dakota,2021,11,3/20/2021,155,136,,40,,,,14,,,,30,,,
South Dakota,2021,12,3/27/2021,167,146,,30,,,0,10,,,,26,,12,
South Dakota,2021,13,4/3/2021,153,138,,28,,,,,,,0,29,,,
South Dakota,2021,14,4/10/2021,143,126,,23,,,,,0,,0,28,,,
South Dakota,2021,15,4/17/2021,174,157,,35,,10,,,0,,0,32,11,11,
South Dakota,2021,16,4/24/2021,169,154,,37,,,,,,,0,34,,10,
South Dakota,2021,17,5/1/2021,158,144,,25,,,,,,,,27,,11,10
South Dakota,2021,18,5/8/2021,178,161,,29,,,,10,,,,40,,,
South Dakota,2021,19,5/15/2021,161,144,,30,,10,,12,,,0,24,,,
South Dakota,2021,20,5/22/2021,155,135,0,24,,,,,,,,29,11,,
South Dakota,2021,21,5/29/2021,137,128,,23,,11,,,0,,,24,,,
South Dakota,2021,22,6/5/2021,152,136,,34,,,0,10,0,,,34,,,
South Dakota,2021,23,6/12/2021,163,144,,29,,,,,,,,25,11,,
South Dakota,2021,24,6/19/2021,145,128,,32,,,0,13,,0,,31,10,,
South Dakota,2021,25,6/26/2021,150,133,,23,,,,10,,,0,37,,,
South Dakota,2021,26,7/3/2021,171,150,,37,,,,14,,,,29,10,,
South Dakota,2021,27,7/10/2021,154,136,,38,,,,12,,,,22,10,0,0
South Dakota,2021,28,7/17/2021,158,149,,44,,11,,10,,0,,28,,,
South Dakota,2021,29,7/24/2021,163,145,,42,,,,15,,,0,21,,,
South Dakota,2021,30,7/31/2021,164,141,,33,,,,,0,,,32,12,,
South Dakota,2021,31,8/7/2021,159,137,,27,,,,15,,0,0,28,,,
South Dakota,2021,32,8/14/2021,161,139,,34,,,,,,0,,30,,,
South Dakota,2021,33,8/21/2021,163,153,0,34,,,,,,,0,34,,10,10
South Dakota,2021,34,8/28/2021,182,162,,41,,12,,,,,,25,,13,11
South Dakota,2021,35,9/4/2021,197,175,,33,,,,,,0,0,39,10,29,28
South Dakota,2021,36,9/11/2021,186,169,,30,,10,,,,,,33,,21,18
South Dakota,2021,37,9/18/2021,177,163,,39,,12,0,14,,,,30,,24,21
South Dakota,2021,38,9/25/2021,215,200,0,35,,,,14,,,,52,,31,30
South Dakota,2021,39,10/2/2021,206,185,,35,,10,,,,,,38,,31,30
South Dakota,2021,40,10/9/2021,176,158,,31,,,0,,,,,28,,20,20
South Dakota,2021,41,10/16/2021,198,180,,29,,,,,,,,31,,27,25
South Dakota,2021,42,10/23/2021,190,178,,31,,,,17,,,,32,,31,28
South Dakota,2021,43,10/30/2021,198,174,0,28,,,,13,,,,37,13,26,25
South Dakota,2021,44,11/6/2021,214,203,,42,11,10,,,,0,0,40,12,25,24
South Dakota,2021,45,11/13/2021,200,176,,17,,11,,,,0,0,35,,36,30
South Dakota,2021,46,11/20/2021,219,203,,44,,12,,,,0,,40,,37,30
South Dakota,2021,47,11/27/2021,217,203,,33,13,10,,,,0,,34,,42,38
South Dakota,2021,48,12/4/2021,219,198,,42,11,11,,,,,,32,,35,32
South Dakota,2021,49,12/11/2021,229,210,,39,,,,10,,,,39,10,31,30
South Dakota,2021,50,12/18/2021,212,201,,38,,,,14,,0,0,37,,52,51
South Dakota,2021,51,12/25/2021,194,177,,33,,,,12,,,0,26,,32,30
South Dakota,2021,52,1/1/2022,216,197,,33,,12,,14,,,0,29,,38,33
South Dakota,2022,1,1/8/2022,233,219,,36,,11,,,,,0,46,,55,51
South Dakota,2022,2,1/15/2022,233,212,,27,,15,,17,,,0,44,,34,31
South Dakota,2022,3,1/22/2022,215,196,,37,,10,,,,0,0,46,13,33,31
South Dakota,2022,4,1/29/2022,223,210,,34,,12,,12,0,,,47,11,44,41
South Dakota,2022,5,2/5/2022,219,203,,48,,,,,,,0,37,,46,38
South Dakota,2022,6,2/12/2022,213,194,,31,,,,,,,,34,,43,28
South Dakota,2022,7,2/19/2022,223,206,,30,,,,13,,,,46,,38,30
South Dakota,2022,8,2/26/2022,160,147,,34,,,,,,,,27,,21,12
South Dakota,2022,9,3/5/2022,146,132,0,21,,,,,,,0,39,,15,
South Dakota,2022,10,3/12/2022,168,153,,29,,10,,,,0,0,36,,15,15
South Dakota,2022,11,3/19/2022,169,153,,27,,12,,,,,,34,,11,
South Dakota,2022,12,3/26/2022,176,152,,28,,13,,10,,,,32,12,,
South Dakota,2022,13,4/2/2022,187,169,0,42,,11,,14,,,0,46,,10,
South Dakota,2022,14,4/9/2022,163,148,,27,,,,,,,,35,10,,
South Dakota,2022,15,4/16/2022,153,144,,38,,,,,0,,,37,,,
South Dakota,2022,16,4/23/2022,163,147,,35,,,,,,,,36,,,
South Dakota,2022,17,4/30/2022,176,154,,26,,,0,,,,,44,,,
South Dakota,2022,18,5/7/2022,150,141,,33,,10,,,,,,32,,0,0
